recipe_id,section,item,ingredient,quantity,price,quantities,raw_ingredients,simplified_ingredients,
58,Condiments,"Tesco Tomato Puree Tube 200G, £0.60 each",1 tbsp tomato purée,1,£0.60,1 tbsp,tomato purée,tomato purée,
60,Condiments,"Crisp 'N Dry 100% Rapeseed Oil 1L, £3.25 each",2 tsp rapeseed oil,1,£3.25,2 tsp,rapeseed oil,cooking oil,
60,Condiments,"Amoy Reduced Salt Soy Sauce 150Ml, £2.00 each",1.5 tbsp reduced-salt soy sauce,1,£2.00,1.5 tbsp,reduced-salt soy sauce,soy sauce,
62,Condiments,"Growers Harvest Tomato Passata 500G, £0.45 each",500g passata,1,£0.45,500g,passata,passata,
63,Condiments,"Crisp 'N Dry 100% Rapeseed Oil 1L, £3.25 each",3 tsp rapeseed oil,1,£3.25,3 tsp,rapeseed oil,cooking oil,
63,Condiments,"Tesco Tomato Puree Tube 200G, £0.60 each",1 heaped tbsp tomato purée,1,£0.60,1 tbsp,tomato purée,tomato purée,
64,Condiments,"Tesco Dijon Mustard 185G, £0.80 each",1 tsp dijon mustard,1,£0.80,1 tsp,dijon mustard,dijon mustard,
65,Condiments,"Tesco Finest Caperberries 280G, £3.30 each",2 tbsp capers,1,£3.30,2 tbsp,capers,capers,
65,Condiments,"Tesco White Wine Vinegar 350Ml, £1.05 each",75ml white wine vinegar,1,£1.05,75ml,white wine vinegar,white wine vinegar,
66,Condiments,"Tesco Shaoxing Rice Wine 150Ml, £3.15 each",1 tsp shaoxing rice wine,1,£3.15,1 tsp,shaoxing rice wine,shaoxing rice wine,! Change to white wine and drinks 
66,Condiments,"Tesco Lighter Than Light Mayonnaise 450Ml, £1.15 each",4 tbsp light mayo,1,£1.15,4 tbsp,light mayo,mayonnaise,
66,Condiments,"Lee Kum Kee Premium Light Soy Sauce 150Ml Plus Free Sauce, £1.40 each",1 tsp light soy sauce,1,£1.40,1 tsp,light soy sauce,soy sauce,
66,Condiments,"Yutaka Japanese Rice Vinegar 150Ml, £2.10 each",1 tbsp rice vinegar,1,£2.10,1 tbsp,rice vinegar,rice wine vinegar,
66,Condiments,"Lee Kum Kee Wok Sesame Oil 207Ml, £2.40 each",1 tsp sesame oil,1,£2.40,1 tsp,sesame oil,sesame oil,
66,Condiments,"Frylight Sunflower Oil Spray 190Ml, £2.75 each",sunflower oil spray,1,£2.75,,sunflower oil spray,cooking oil,
69,Condiments,"Pataks Tikka Masala Paste Pots 2X70g, £1.49 each",2 tsp tikka curry paste,1,£1.49,2 tsp,tikka curry paste,tikka paste,
70,Condiments,"Tesco Pitted Black Olives 330G, £1.05 each",6 pitted black olives,1,£1.05,6,pitted black olives,pitted black olives,
72,Condiments,"Crisp 'N Dry 100% Rapeseed Oil 1L, £3.25 each",2 tbsp rapeseed oil,1,£3.25,2 tbsp,rapeseed oil,cooking oil,
73,Condiments,"Tesco Dijon Mustard 185G, £0.80 each",1 tsp dijon mustard,1,£0.80,1 tsp,dijon mustard,dijon mustard,
73,Condiments,"Tesco Classic Green Pesto 190G, £1.25 each",2 tbsp green pesto,1,£1.25,2 tbsp,green pesto,green pesto,
74,Condiments,"Amoy Reduced Salt Soy Sauce 150Ml, £2.00 each",3 tbsp reduced-salt soy sauce,1,£2.00,3 tbsp,reduced-salt soy sauce,soy sauce,
76,Condiments,"Tesco Whole Pickled Gherkins 680G, £1.70 each",30g gherkins,1,£1.70,30g,gherkins,gherkins,
76,Condiments,"Cooks & Co Green Chillies 300G, £1.80 each",2 green pickled chillies,1,£1.80,2,green pickled chillies,jalapeños ,
76,Condiments,"Frylight Sunflower Oil Spray 190Ml, £2.75 each",sunflower oil spray,1,£2.75,,sunflower oil spray,cooking oil,
76,Condiments,"Tesco White Wine Vinegar 350Ml, £1.05 each",4 tbsp white wine vinegar,1,£1.05,4 tbsp,white wine vinegar,white wine vinegar,
78,Condiments,"Tesco Groundnut Oil 500Ml, £2.00 each",1 tbsp groundnut oil,1,£2.00,1 tbsp,groundnut oil,groundnut oil,
79,Condiments,"Flora Pure Sunflower Oil 1Lt Plus 25%, £3.50 each",3 tbsp sunflower oil,1,£3.50,3 tbsp,sunflower oil,cooking oil,
79,Condiments,"Tesco Wholegrain Mustard 180G, £0.80 each",1 tbsp wholegrain mustard,1,£0.80,1 tbsp,wholegrain mustard,wholegrain mustard,
