recipe_id,section,item,ingredient,quantity,price,quantities,raw_ingredients,simplified_ingredients
15,Fruits and vegetables,"Tesco Purple Sprouting Broccoli 200G, £1.80 each",200g purple sprouting broccoli,1,£1.80,200g,purple sprouting broccoli,broccoli
15,Fruits and vegetables,"Tesco Sliced Mushrooms 250G, £1.20 each",250g mushrooms sliced,1,£1.20,250g,mushrooms sliced,mushroom
16,Fruits and vegetables,"Tesco Large Broccoli Pack 500G, £1.00 each",450g broccoli,1,£1.00,450g,broccoli,broccoli
16,Fruits and vegetables,"Tesco Fresh Cut Coriander 30G, £0.52 each",fresh coriander,1,£0.52,,fresh coriander,coriander
16,Fruits and vegetables,"Tesco Limes 5 Pack, £1.20 each",2 limes juiced,1,£1.20,2,limes juiced,lime juiced
16,Fruits and vegetables,"Redmere Farms Garlic 4 Pack, £0.95 each",2 garlic cloves,1,£0.95,2 cloves,garlic,garlic
16,Fruits and vegetables,"Ginger Root Loose 0.10kg, £0.65 / 0.1kg",10g fresh ginger,0.1,£0.65,10g,fresh ginger,ginger
16,Fruits and vegetables,"Tesco Bunched Spring Onions 100G, £0.50 each",100g spring onions,1,£0.50,100g,spring onions,spring onion
17,Fruits and vegetables,"Large Potatoes Baking Loose 0.30kg, £0.21 / 0.3kg",400g baking potatoes,0.6,£0.42,400g,baking potatoes,potato
17,Fruits and vegetables,"Tesco British Frilly Leaf Salad 120G, £1.10 each",80g mixed leaf salad,1,£1.10,80g,mixed leaf salad,mixed leaf salad
18,Fruits and vegetables,"Suntrail Lemons Minimum 4 Pack, £0.55 each",0.5 lemon,1,£0.55,0.5,lemon,lemon
18,Fruits and vegetables,"Redmere Farms Garlic 4 Pack, £0.95 each",2 garlic cloves,1,£0.95,2 cloves,garlic,garlic
18,Fruits and vegetables,"Shallots Onions 300G, £1.30 each",2 shallots,1,£1.30,2,shallots,onion
18,Fruits and vegetables,"Tesco Sliced Greens 300G, £1.45 each",300g spring greens,1,£1.45,300g,spring greens,spring greens
19,Fruits and vegetables,"Tesco Carrots Loose 0.16kg, £0.08 / 0.16kg",1 carrot,0.16,£0.08,1,carrot,carrot
19,Fruits and vegetables,"Redmere Farms Garlic 4 Pack, £0.95 each",2 garlic cloves,1,£0.95,2 cloves,garlic,garlic
19,Fruits and vegetables,"Tesco Sweet Heart Cabbage Each Class 1, £0.67 each",0.5 sweetheart cabbage,1,£0.67,0.5,sweetheart cabbage,cabbage
19,Fruits and vegetables,"Loose Red Onions Class 2 0.21kg, £0.21 / 0.21kg",1 red onion,0.21,£0.21,1,red onion,onion
20,Fruits and vegetables,"Asparagus Tips 125G Class 1, £2.00 each",250g asparagus,2,£4.00,250g,asparagus,asparagus
20,Fruits and vegetables,"Courgettes Loose Class 1 0.20kg, £0.58 / 0.2kg",1 courgette,0.2,£0.58,1,courgette,courgette
20,Fruits and vegetables,"Tesco Organic Garlic 3 Pack, £1.00 each",3 garlic cloves,1,£1.00,3 cloves,garlic,garlic
20,Fruits and vegetables,"Suntrail Lemons Minimum 4 Pack, £0.55 each",1 lemon,1,£0.55,1,lemon,lemon
20,Fruits and vegetables,"Tesco Bunched Spring Onions 100G, £0.50 each",1 bunch spring onions,1,£0.50,1 bunch,spring onions,spring onion
21,Fruits and vegetables,"Tesco Aubergine Each, £0.85 each",700g aubergines,2,£1.70,700g,aubergines,aubergines
21,Fruits and vegetables,"Cauliflower Extra Large Each, £1.50 each",1 cauliflower,1,£1.50,1,cauliflower,cauliflower
21,Fruits and vegetables,"Tesco Organic Garlic 3 Pack, £1.00 each",8 garlic cloves,1,£1.00,8 cloves,garlic,garlic
21,Fruits and vegetables,"Suntrail Lemons Minimum 4 Pack, £0.55 each",lemon wedges,1,£0.55,,lemon wedges,lemon
21,Fruits and vegetables,"Tesco Extra Large Brown Onions 2 Pack, £1.00 each",2 onions,1,£1.00,2,onions,onion
21,Fruits and vegetables,"Tesco Pomegranate Seeds 80G, £1.15 each",40g pomegranate seeds,1,£1.15,40g,pomegranate seeds,pomegranate seeds
21,Fruits and vegetables,"Tesco Sweet Vine Ripened Tomatoes 255G, £1.20 each",200g vine tomatoes,1,£1.20,200g,vine tomatoes,tomato
22,Fruits and vegetables,"Tesco Fresh Cut Coriander 30G, £0.52 each",10g coriander,1,£0.52,10g,coriander,coriander
22,Fruits and vegetables,"Suntrail Farms Kiwi X6, £0.95 each",2 kiwis,1,£0.95,2,kiwis,kiwis
22,Fruits and vegetables,"Tesco Limes 5 Pack, £1.20 each",1 lime,1,£1.20,1,lime,lime
22,Fruits and vegetables,"Tesco Bunched Spring Onions 100G, £0.50 each",4 spring onions,1,£0.50,4,spring onions,spring onion
23,Fruits and vegetables,"Tesco Fresh Cut Coriander 30G, £0.52 each",fresh coriander,1,£0.52,,fresh coriander,coriander
23,Fruits and vegetables,"Redmere Farms Garlic 4 Pack, £0.95 each",1 clove garlic,1,£0.95,1 clove,garlic,garlic
25,Fruits and vegetables,"Tesco Fresh Cut Coriander 30G, £0.52 each",10g fresh coriander,1,£0.52,10g,fresh coriander,coriander
25,Fruits and vegetables,"Tesco Mangetout 150G, £1.05 each",150g mangetout,1,£1.05,150g,mangetout,mangetout
26,Fruits and vegetables,"Tesco Cut Chives 20G, £1.00 each",15g fresh chives,1,£1.00,15g,fresh chives,chives
26,Fruits and vegetables,"Redmere Farms Garlic 4 Pack, £0.95 each",1 clove garlic,1,£0.95,1 clove,garlic,garlic
26,Fruits and vegetables,"Suntrail Lemons Minimum 4 Pack, £0.55 each",0.5 zest lemon,1,£0.55,0.5,zest lemon,lemon
26,Fruits and vegetables,"Tesco Large Sweet Potatoes Loose Class 1 0.35kg, £0.39 / 0.35kg",600g sweet potatoes,1.05,£0.77,600g,sweet potatoes,potato
27,Fruits and vegetables,"Tesco Organic Garlic 3 Pack, £1.00 each",3 garlic cloves,1,£1.00,3 cloves,garlic,garlic
27,Fruits and vegetables,"Loose Brown Onions 0.12kg, £0.12 / 0.12kg",1 onion,0.12,£0.12,1,onion,onion
28,Fruits and vegetables,"Redmere Farms Garlic 4 Pack, £0.95 each",2 garlic cloves,1,£0.95,2 cloves,garlic,garlic
28,Fruits and vegetables,"Tesco Fresh Cut Curled Parsley 30G, £0.60 each",10g fresh parsley,1,£0.60,10g,fresh parsley,parsley
29,Fruits and vegetables,"Pak Choi 250G, £1.35 each",2 pak choi,4,£5.40,2,pak choi,pak choi
29,Fruits and vegetables,"Tesco Carrots Loose 0.16kg, £0.08 / 0.16kg",1 carrot,0.16,£0.08,1,carrot,carrot
29,Fruits and vegetables,"Redmere Farms Garlic 4 Pack, £0.95 each",2 garlic cloves,1,£0.95,2 garlic,cloves,garlic
29,Fruits and vegetables,"Tesco Red Chillies 60G, £0.70 each",1 red chilli,1,£0.70,1,red chilli,chilli
29,Fruits and vegetables,"Tesco Finest Shiitake Mushroom 125G, £1.75 each",125g shiitake mushrooms,1,£1.75,125g,shiitake mushrooms,mushroom
29,Fruits and vegetables,"Tesco Bunched Spring Onions 100G, £0.50 each",4 spring onions,1,£0.50,4,spring onions,spring onion
30,Fruits and vegetables,"Tesco Beansprouts 300G, £0.71 each",100g beansprouts,1,£0.71,100g,beansprouts,beansprouts
30,Fruits and vegetables,"Tesco Butterhead Lettuce, £0.65 each",butterhead lettuce,1,£0.65,,butterhead lettuce,lettuce
30,Fruits and vegetables,"Redmere Farms Garlic 4 Pack, £0.95 each",2 garlic cloves,1,£0.95,2 cloves,garlic,garlic
30,Fruits and vegetables,"Tesco Cut Chives 20G, £1.00 each",fresh herbs,1,£1.00,,fresh herbs,fresh herbs
30,Fruits and vegetables,"Tesco Limes 5 Pack, £1.20 each",lime wedges,1,£1.20,,lime wedges,lime
30,Fruits and vegetables,"Tesco Red Chillies 60G, £0.70 each",1 red chilli,1,£0.70,1,red chilli,chilli
30,Fruits and vegetables,"Shallots Onions 300G, £1.30 each",2 shallots,1,£1.30,2,shallots,onion
30,Fruits and vegetables,"Tesco Bunched Spring Onions 100G, £0.50 each",2 spring onions,1,£0.50,2,spring onions,spring onion
31,Fruits and vegetables,"Tesco Cut Basil 30G, £0.52 each",15g basil,1,£0.52,15g,basil,basil
31,Fruits and vegetables,"Redmere Farms Garlic 4 Pack, £0.95 each",2 garlic cloves,1,£0.95,2 cloves,garlic,garlic
32,Fruits and vegetables,"Tesco Organic Celery, £1.20 each",2 sticks celery,1,£1.20,2 sticks,celery,celery
