recipe_id,section,item,ingredient,quantity,price,quantities,raw_ingredients,simplified_ingredients,,,
133,Herbs and spices,"Tesco Sundried Tomatoes 225G, £2.65 each",50g sundried tomatoes,1,£2.65,50g,sundried tomatoes,sundried tomatoes,,,!
135,Herbs and spices,"Tesco Ground Sweet Cinnamon 40G, £0.90 each",0.5 tsp ground cinnamon,1,£0.90,0.5 tsp,ground cinnamon,ground cinnamon,,,
135,Herbs and spices,"East End Ground Coriander Powder 100G, £1.15 each",0.5 tsp ground coriander,1,£1.15,0.5 tsp,ground coriander,ground coriander,,,
135,Herbs and spices,"Tesco Paprika 52G, £0.90 each",0.5 tsp paprika,1,£0.90,0.5 tsp,paprika,paprika,,,
136,Herbs and spices,"Tesco Cajun Seasoning 45G, £0.90 each",2 tsp cajun spice mix,1,£0.90,2 tsp,cajun spice mix,cajun spice mix,,,
139,Herbs and spices,"Tesco Smoked Paprika 48G, £0.90 each",2 tsp smoked paprika,1,£0.90,2 tsp,smoked paprika,smoked paprika,,,
140,Herbs and spices,"Tesco Dried Oregano 14G Jar, £0.90 each",2 tsp dried oregano,1,£0.90,2 tsp,dried oregano,dried oregano,,,
142,Herbs and spices,"East End Ground Cumin Powder 100G, £1.15 each",2 tsp ground cumin,1,£1.15,2 tsp,ground cumin,ground cumin,,,
143,Herbs and spices,"Tesco Black Peppercorn Grinder 50G, £2.30 each",1 tsp black peppercorns,1,£2.30,1 tsp,black peppercorns,black pepper,,,
143,Herbs and spices,"Wicked Kitchen Garlic & Herb Nooch Season 80G, £2.50 each",garlic lemon and herb seasoning mix,1,£2.50,,garlic lemon and herb seasoning mix,garlic granules,,,
146,Herbs and spices,"Tesco Baharat Seasoning 53G, £2.15 each",4 tbsp baharat seasoning,1,£2.15,4 tbsp,baharat seasoning,baharat,,,
146,Herbs and spices,"Tesco Coriander Seeds 26G, £0.90 each",1 tsp coriander seeds,1,£0.90,1 tsp,coriander seeds,coriander seeds,,,
146,Herbs and spices,"East End Ground Cumin Powder 100G, £1.15 each",1 tsp cumin,1,£1.15,1 tsp,cumin,ground cumin,,,
147,Herbs and spices,"Tesco Fennel Seeds 36G, £0.90 each",2 tbsp fennel seeds,1,£0.90,2 tbsp,fennel seeds,fennel seeds,,,
148,Herbs and spices,"East End Ground Cumin Powder 100G, £1.15 each",2.5 tsp ground cumin,1,£1.15,2.5 tsp,ground cumin,ground cumin,,,
