Meal1_ID,Meal2_ID,M1_cost,M1_newcost,M1_savings,M2_cost,M2_newcost,M2_savings,Total_cost,Total_Savings,Total leftovers,no.custinginm1
132,8,11.51,10.02,1.49,10.21,10.21,0,20.23,1.49,28,3
133,8,12.8,12.25,0.550000000000001,10.21,10.21,0,22.46,0.550000000000001,30,1
136,8,16.25,14.2,2.05,10.21,7.85,2.36,22.05,4.41,16,3
139,8,13.9,10.45,3.45,10.21,7.85,2.36,18.3,5.81,15,3
143,8,18.72,15.15,3.57,10.21,10.21,0,25.36,3.57,28,3
145,8,12.36,11.41,0.949999999999999,10.21,10.21,0,21.62,0.949999999999999,29,1
148,8,9.42,7.92,1.5,10.21,10.21,0,18.13,1.5,29,2
149,8,21.92,17.26,4.66,10.21,10.21,0,27.47,4.66,29,3
3,9,8.85,2.5,6.35,7.35,7.35,0,9.85,6.35,29,3
8,9,10.21,8.37,1.84,7.35,7.35,0,15.72,1.84,32,2
10,9,13.58,9.52,4.06,7.35,7.35,0,16.87,4.06,28,3
14,9,8.13,5.68,2.45,7.35,7.35,0,13.03,2.45,28,3
21,9,19.3,12.55,6.75,7.35,7.35,0,19.9,6.75,29,5
29,9,24.58,21.88,2.7,7.35,7.35,0,29.23,2.7,28,2
33,9,13.23,13.23,0,7.35,7.35,0,20.58,0,29,0
36,9,8.3,5.94,2.36,7.35,7.35,0,13.29,2.36,30,4
37,9,8.8,7.85,0.95,7.35,7.35,0,15.2,0.95,28,1
39,9,7.81,6.65,1.16,7.35,7.35,0,14,1.16,28,2
46,9,24.77,19.77,5,7.35,7.35,0,27.12,5,29,3
49,9,12.68,11.67,1.01,7.35,5.75,1.6,17.42,2.61,17,2
52,9,10,7.64,2.36,7.35,7.35,0,14.99,2.36,28,3
53,9,7.83,6.02,1.81,7.35,7.35,0,13.37,1.81,30,2
54,9,7.17,6.62,0.55,7.35,7.35,0,13.97,0.55,28,1
57,9,9.45,6.94,2.51,7.35,7.35,0,14.29,2.51,28,2
58,9,14.43,11.35,3.08,7.35,5.75,1.6,17.1,4.68,17,4
59,9,9.28,7.08,2.2,7.35,7.35,0,14.43,2.2,29,3
60,9,17.5,15.85,1.65,7.35,5.75,1.6,21.6,3.25,16,2
62,9,10.02,8.37,1.65,7.35,7.35,0,15.72,1.65,30,2
67,9,16.18,12.91,3.27,7.35,7.35,0,20.26,3.27,30,3
71,9,13.15,12.87,0.279999999999999,7.35,7.35,0,20.22,0.279999999999999,28,1
74,9,13.49,12.54,0.949999999999999,7.35,7.35,0,19.89,0.949999999999999,28,1
75,9,12.92,9.65,3.27,7.35,7.35,0,17,3.27,30,4
76,9,16.68,13.77,2.91,7.35,7.35,0,21.12,2.91,29,4
79,9,26.6,16.9,9.7,7.35,7.35,0,24.25,9.7,28,4
82,9,6.65,5.1,1.55,7.35,7.35,0,12.45,1.55,29,2
87,9,18.99,14.27,4.72,7.35,7.35,0,21.62,4.72,30,4
88,9,6.17,6.17,0,7.35,7.35,0,13.52,0,28,0
91,9,15.89,14.82,1.07,7.35,5.75,1.6,20.57,2.67,14,2
93,9,6.35,4.45,1.9,7.35,7.35,0,11.8,1.9,29,2
94,9,14.73,13.11,1.62,7.35,7.35,0,20.46,1.62,29,3
102,9,21.08,16.37,4.71,7.35,5.75,1.6,22.12,6.31,15,3
103,9,11.81,9.79,2.02,7.35,7.35,0,17.14,2.02,28,3
114,9,11.25,4.4,6.85,7.35,7.35,0,11.75,6.85,28,5
119,9,12.95,11.75,1.2,7.35,5.75,1.6,17.5,2.8,15,2
127,9,17.33,11.03,6.3,7.35,7.35,0,18.38,6.3,29,3
132,9,11.51,10.02,1.49,7.35,7.35,0,17.37,1.49,28,3
133,9,12.8,12.25,0.550000000000001,7.35,7.35,0,19.6,0.550000000000001,30,1
136,9,16.25,14.2,2.05,7.35,5.75,1.6,19.95,3.65,16,3
139,9,13.9,10.45,3.45,7.35,7.35,0,17.8,3.45,29,3
143,9,18.72,15.15,3.57,7.35,7.35,0,22.5,3.57,28,3
145,9,12.36,11.41,0.949999999999999,7.35,7.35,0,18.76,0.949999999999999,29,1
148,9,9.42,7.92,1.5,7.35,7.35,0,15.27,1.5,29,2
149,9,21.92,17.26,4.66,7.35,7.35,0,24.61,4.66,29,3
3,10,8.85,2.5,6.35,13.58,13.58,0,16.08,6.35,24,3
8,10,10.21,8.37,1.84,13.58,13.58,0,21.95,1.84,27,2
9,10,7.35,7.35,0,13.58,13.58,0,20.93,0,23,0
14,10,8.13,5.68,2.45,13.58,13.58,0,19.26,2.45,23,3
21,10,19.3,12.55,6.75,13.58,13.58,0,26.13,6.75,24,5
29,10,24.58,21.88,2.7,13.58,13.58,0,35.46,2.7,23,2
33,10,13.23,13.23,0,13.58,13.58,0,26.81,0,24,0
36,10,8.3,5.94,2.36,13.58,13.58,0,19.52,2.36,25,4
37,10,8.8,7.85,0.95,13.58,13.58,0,21.43,0.95,23,1
39,10,7.81,6.65,1.16,13.58,13.58,0,20.23,1.16,23,2
46,10,24.77,19.77,5,13.58,13.58,0,33.35,5,24,3
49,10,12.68,11.67,1.01,13.58,13.58,0,25.25,1.01,26,2
52,10,10,7.64,2.36,13.58,13.58,0,21.22,2.36,23,3
53,10,7.83,6.02,1.81,13.58,13.58,0,19.6,1.81,25,2
54,10,7.17,6.62,0.55,13.58,13.58,0,20.2,0.55,23,1
57,10,9.45,6.94,2.51,13.58,13.58,0,20.52,2.51,23,2
58,10,14.43,11.35,3.08,13.58,13.58,0,24.93,3.08,26,4
59,10,9.28,7.08,2.2,13.58,13.58,0,20.66,2.2,24,3
60,10,17.5,15.85,1.65,13.58,12.91,0.67,28.76,2.32,13,2
62,10,10.02,8.37,1.65,13.58,13.58,0,21.95,1.65,25,2
67,10,16.18,12.91,3.27,13.58,13.58,0,26.49,3.27,25,3
71,10,13.15,12.87,0.279999999999999,13.58,13.58,0,26.45,0.279999999999999,23,1
74,10,13.49,12.54,0.949999999999999,13.58,13.58,0,26.12,0.949999999999999,23,1
75,10,12.92,9.65,3.27,13.58,12.91,0.67,22.56,3.94,14,4
76,10,16.68,13.77,2.91,13.58,13.58,0,27.35,2.91,24,4
79,10,26.6,16.9,9.7,13.58,13.58,0,30.48,9.7,23,4
82,10,6.65,5.1,1.55,13.58,12.91,0.67,18.01,2.22,13,2
87,10,18.99,14.27,4.72,13.58,13.58,0,27.85,4.72,25,4
88,10,6.17,6.17,0,13.58,13.58,0,19.75,0,23,0
91,10,15.89,14.82,1.07,13.58,13.58,0,28.4,1.07,23,2
93,10,6.35,4.45,1.9,13.58,13.58,0,18.03,1.9,24,2
94,10,14.73,13.11,1.62,13.58,13.58,0,26.69,1.62,24,3
102,10,21.08,16.37,4.71,13.58,13.58,0,29.95,4.71,24,3
103,10,11.81,9.79,2.02,13.58,13.58,0,23.37,2.02,23,3
114,10,11.25,4.4,6.85,13.58,12.91,0.67,17.31,7.52,12,5
119,10,12.95,11.75,1.2,13.58,13.58,0,25.33,1.2,24,2
127,10,17.33,11.03,6.3,13.58,13.58,0,24.61,6.3,24,3
132,10,11.51,10.02,1.49,13.58,13.58,0,23.6,1.49,23,3
133,10,12.8,12.25,0.550000000000001,13.58,13.58,0,25.83,0.550000000000001,25,1
136,10,16.25,14.2,2.05,13.58,13.58,0,27.78,2.05,25,3
139,10,13.9,10.45,3.45,13.58,13.58,0,24.03,3.45,24,3
143,10,18.72,15.15,3.57,13.58,13.58,0,28.73,3.57,23,3
145,10,12.36,11.41,0.949999999999999,13.58,13.58,0,24.99,0.949999999999999,24,1
148,10,9.42,7.92,1.5,13.58,13.58,0,21.5,1.5,24,2
149,10,21.92,17.26,4.66,13.58,13.58,0,30.84,4.66,24,3
3,14,8.85,2.5,6.35,8.13,8.13,0,10.63,6.35,23,3
8,14,10.21,8.37,1.84,8.13,8.13,0,16.5,1.84,26,2
9,14,7.35,7.35,0,8.13,8.13,0,15.48,0,22,0
10,14,13.58,9.52,4.06,8.13,8.13,0,17.65,4.06,22,3
21,14,19.3,12.55,6.75,8.13,8.13,0,20.68,6.75,23,5
29,14,24.58,21.88,2.7,8.13,8.13,0,30.01,2.7,22,2
33,14,13.23,13.23,0,8.13,8.13,0,21.36,0,23,0
36,14,8.3,5.94,2.36,8.13,8.13,0,14.07,2.36,24,4
37,14,8.8,7.85,0.95,8.13,8.13,0,15.98,0.95,22,1
39,14,7.81,6.65,1.16,8.13,8.13,0,14.78,1.16,22,2
46,14,24.77,19.77,5,8.13,8.13,0,27.9,5,23,3
49,14,12.68,11.67,1.01,8.13,8.13,0,19.8,1.01,25,2
52,14,10,7.64,2.36,8.13,8.13,0,15.77,2.36,22,3
53,14,7.83,6.02,1.81,8.13,8.13,0,14.15,1.81,24,2
54,14,7.17,6.62,0.55,8.13,8.13,0,14.75,0.55,22,1
57,14,9.45,6.94,2.51,8.13,8.13,0,15.07,2.51,22,2
58,14,14.43,11.35,3.08,8.13,8.13,0,19.48,3.08,25,4
59,14,9.28,7.08,2.2,8.13,8.13,0,15.21,2.2,23,3
60,14,17.5,15.85,1.65,8.13,8.13,0,23.98,1.65,24,2
62,14,10.02,8.37,1.65,8.13,8.13,0,16.5,1.65,24,2
67,14,16.18,12.91,3.27,8.13,8.13,0,21.04,3.27,24,3
71,14,13.15,12.87,0.279999999999999,8.13,8.13,0,21,0.279999999999999,22,1
74,14,13.49,12.54,0.949999999999999,8.13,8.13,0,20.67,0.949999999999999,22,1
75,14,12.92,9.65,3.27,8.13,8.13,0,17.78,3.27,24,4
76,14,16.68,13.77,2.91,8.13,8.13,0,21.9,2.91,23,4
79,14,26.6,16.9,9.7,8.13,8.13,0,25.03,9.7,22,4
82,14,6.65,5.1,1.55,8.13,8.13,0,13.23,1.55,23,2
87,14,18.99,14.27,4.72,8.13,8.13,0,22.4,4.72,24,4
88,14,6.17,6.17,0,8.13,8.13,0,14.3,0,22,0
91,14,15.89,14.82,1.07,8.13,8.13,0,22.95,1.07,22,2
93,14,6.35,4.45,1.9,8.13,6.03,2.1,10.48,4,12,2
