Meal1_ID,Meal2_ID,M1_cost,M1_newcost,M1_savings,M2_cost,M2_newcost,M2_savings,Total_cost,Total_Savings,Total leftovers,no.custinginm1
36,69,8.3,5.94,2.36,6.33,6.33,0,12.27,2.36,26,4
93,53,6.35,4.45,1.9,7.83,7.83,0,12.28,1.9,27,2
82,39,6.65,5.1,1.55,7.81,7.21,0.6,12.31,2.15,12,2
148,78,9.42,7.92,1.5,4.4,4.4,0,12.32,1.5,28,2
14,82,8.13,5.68,2.45,6.65,6.65,0,12.33,2.45,25,3
53,69,7.83,6.02,1.81,6.33,6.33,0,12.35,1.81,27,2
53,93,7.83,6.02,1.81,6.35,6.35,0,12.37,1.81,27,2
36,56,8.3,5.94,2.36,6.44,6.44,0,12.38,2.36,24,4
82,9,6.65,5.1,1.55,7.35,7.35,0,12.45,1.55,28,2
53,56,7.83,6.02,1.81,6.44,6.44,0,12.46,1.81,14,2
52,31,10,7.64,2.36,4.82,4.82,0,12.46,2.36,26,3
3,52,8.85,2.5,6.35,10,10,0,12.5,6.35,24,3
3,62,8.85,2.5,6.35,10.02,10.02,0,12.52,6.35,26,3
114,14,11.25,4.4,6.85,8.13,8.13,0,12.53,6.85,23,5
54,61,7.17,6.62,0.55,5.93,5.93,0,12.55,0.55,25,1
39,61,7.81,6.65,1.16,5.93,5.93,0,12.58,1.16,25,2
36,82,8.3,5.94,2.36,6.65,6.65,0,12.59,2.36,26,4
14,131,8.13,5.68,2.45,6.95,6.95,0,12.63,2.45,27,3
37,31,8.8,7.85,0.95,4.82,4.82,0,12.67,0.95,26,1
31,37,4.82,3.87,0.95,8.8,8.8,0,12.67,0.95,26,1
53,82,7.83,6.02,1.81,6.65,6.65,0,12.67,1.81,27,2
114,36,11.25,4.4,6.85,8.3,8.3,0,12.7,6.85,22,5
39,82,7.81,6.65,1.16,6.65,6.05,0.600000000000001,12.7,1.76,13,2
72,61,7.72,6.77,0.95,5.93,5.93,0,12.7,0.95,25,1
3,8,8.85,2.5,6.35,10.21,10.21,0,12.71,6.35,28,3
31,3,4.82,3.87,0.95,8.85,8.85,0,12.72,0.95,25,1
93,37,6.35,4.45,1.9,8.8,8.28,0.52,12.73,2.42,14,2
148,31,9.42,7.92,1.5,4.82,4.82,0,12.74,1.5,27,2
8,78,10.21,8.37,1.84,4.4,4.4,0,12.77,1.84,30,2
62,78,10.02,8.37,1.65,4.4,4.4,0,12.77,1.65,28,2
54,88,7.17,6.62,0.55,6.17,6.17,0,12.79,0.55,27,1
82,72,6.65,5.1,1.55,7.72,7.72,0,12.82,1.55,26,2
39,88,7.81,6.65,1.16,6.17,6.17,0,12.82,1.16,27,2
14,54,8.13,5.68,2.45,7.17,7.17,0,12.85,2.45,27,3
57,61,9.45,6.94,2.51,5.93,5.93,0,12.87,2.51,25,2
36,131,8.3,5.94,2.36,6.95,6.95,0,12.89,2.36,28,4
82,53,6.65,5.1,1.55,7.83,7.83,0,12.93,1.55,26,2
72,88,7.72,6.77,0.95,6.17,6.17,0,12.94,0.95,27,1
54,69,7.17,6.62,0.55,6.33,6.33,0,12.95,0.55,12,1
54,93,7.17,6.62,0.55,6.35,6.35,0,12.97,0.55,25,1
53,131,7.83,6.02,1.81,6.95,6.95,0,12.97,1.81,29,2
39,69,7.81,6.65,1.16,6.33,6.33,0,12.98,1.16,25,2
39,93,7.81,6.65,1.16,6.35,6.35,0,13,1.16,25,2
59,61,9.28,7.08,2.2,5.93,5.93,0,13.01,2.2,25,3
14,9,8.13,5.68,2.45,7.35,7.35,0,13.03,2.45,28,3
54,56,7.17,6.62,0.55,6.44,6.44,0,13.06,0.55,23,1
3,33,8.85,2.5,6.35,13.23,10.58,2.65,13.08,9,14,3
39,56,7.81,6.65,1.16,6.44,6.44,0,13.09,1.16,23,2
72,69,7.72,6.77,0.95,6.33,6.33,0,13.1,0.95,25,1
57,88,9.45,6.94,2.51,6.17,6.17,0,13.11,2.51,27,2
36,54,8.3,5.94,2.36,7.17,7.17,0,13.11,2.36,28,4
72,93,7.72,6.77,0.95,6.35,6.35,0,13.12,0.95,25,1
57,8,9.45,6.94,2.51,10.21,6.19,4.02,13.13,6.53,12,2
31,59,4.82,3.87,0.95,9.28,9.28,0,13.15,0.95,23,1
8,31,10.21,8.37,1.84,4.82,4.82,0,13.19,1.84,29,2
53,54,7.83,6.02,1.81,7.17,7.17,0,13.19,1.81,29,2
62,31,10.02,8.37,1.65,4.82,4.82,0,13.19,1.65,27,2
114,37,11.25,4.4,6.85,8.8,8.8,0,13.2,6.85,26,5
72,56,7.72,6.77,0.95,6.44,6.44,0,13.21,0.95,23,1
3,26,8.85,2.5,6.35,10.72,10.72,0,13.22,6.35,27,3
82,14,6.65,5.1,1.55,8.13,8.13,0,13.23,1.55,23,2
114,3,11.25,4.4,6.85,8.85,8.85,0,13.25,6.85,25,5
59,88,9.28,7.08,2.2,6.17,6.17,0,13.25,2.2,27,3
59,8,9.28,7.08,2.2,10.21,6.19,4.02,13.27,6.22,12,3
57,69,9.45,6.94,2.51,6.33,6.33,0,13.27,2.51,12,2
54,82,7.17,6.62,0.55,6.65,6.65,0,13.27,0.55,25,1
9,61,7.35,7.35,0,5.93,5.93,0,13.28,0,25,0
57,93,9.45,6.94,2.51,6.35,6.35,0,13.29,2.51,25,2
31,148,4.82,3.87,0.95,9.42,9.42,0,13.29,0.95,26,1
36,9,8.3,5.94,2.36,7.35,7.35,0,13.29,2.36,29,4
93,3,6.35,4.45,1.9,8.85,8.85,0,13.3,1.9,26,2
31,57,4.82,3.87,0.95,9.45,9.45,0,13.32,0.95,25,1
53,9,7.83,6.02,1.81,7.35,7.35,0,13.37,1.81,30,2
57,56,9.45,6.94,2.51,6.44,6.44,0,13.38,2.51,23,2
14,72,8.13,5.68,2.45,7.72,7.72,0,13.4,2.45,26,3
82,36,6.65,5.1,1.55,8.3,8.3,0,13.4,1.55,22,2
59,69,9.28,7.08,2.2,6.33,6.33,0,13.41,2.2,12,3
148,3,9.42,7.92,1.5,8.85,5.5,3.35,13.42,4.85,14,2
72,82,7.72,6.77,0.95,6.65,6.65,0,13.42,0.95,25,1
59,93,9.28,7.08,2.2,6.35,6.35,0,13.43,2.2,25,3
14,39,8.13,5.68,2.45,7.81,7.81,0,13.49,2.45,24,3
14,53,8.13,5.68,2.45,7.83,7.83,0,13.51,2.45,26,3
59,56,9.28,7.08,2.2,6.44,6.44,0,13.52,2.2,23,3
9,88,7.35,7.35,0,6.17,6.17,0,13.52,0,27,0
52,61,10,7.64,2.36,5.93,5.93,0,13.57,2.36,25,3
54,131,7.17,6.62,0.55,6.95,6.95,0,13.57,0.55,27,1
57,82,9.45,6.94,2.51,6.65,6.65,0,13.59,2.51,25,2
39,131,7.81,6.65,1.16,6.95,6.95,0,13.6,1.16,27,2
26,78,10.72,9.22,1.5,4.4,4.4,0,13.62,1.5,28,2
36,72,8.3,5.94,2.36,7.72,7.72,0,13.66,2.36,27,4
114,59,11.25,4.4,6.85,9.28,9.28,0,13.68,6.85,23,5
9,69,7.35,7.35,0,6.33,6.33,0,13.68,0,25,0
9,93,7.35,7.35,0,6.35,6.35,0,13.7,0,25,0
72,131,7.72,6.77,0.95,6.95,6.95,0,13.72,0.95,27,1
59,82,9.28,7.08,2.2,6.65,6.65,0,13.73,2.2,25,3
